Task Description,Date,Duration,Week,Total Week Hours,Notes/Comments
"Loading Integration: Integrated react-spinners into the application and established a dedicated loading context (loadingContext.jsx) to efficiently manage the loading state from child components. This integration ensures the display of a spinner when data is being fetched, enhancing user experience. Additionally, a reusable SpinnerComponent was introduced and seamlessly incorporated into various other components, offering consistent and visually engaging loading indicators throughout the application.",11/1/2023,0:36:57,10/30/2023 – 11/05/2023,12:36:27,
"Thorough Debugging for Message Read Logic:  Diligently addressed and resolved issues related to message read logic, ensuring optimal functionality both on the server and client sides.",11/2/2023,5:25:17,10/30/2023 – 11/05/2023,12:36:27,
"Initiated the Development of Presentation Slides: Commenced the creation and development of presentation slides for the project, marking an important step towards communicating the project's goals, progress, and achievements.",11/3/2023,2:12:23,10/30/2023 – 11/05/2023,12:36:27,
"Successfully Completed and Submitted Interim Supervisor Evaluation: Completed the 'Interim Supervisor Evaluation' form, and subsequently forwarded it to the supervisor for completion of the second page. The finalized evaluation will be submitted to the course instructors, contributing to the ongoing assessment of the project's progress and performance.",11/4/2023,0:39:37,10/30/2023 – 11/05/2023,12:36:27,
"Completed the Development of Presentation Slides: Successfully finalized the creation and development of presentation slides, marking a significant milestone in preparing to communicate the project's goals, accomplishments, and insights effectively.",11/5/2023,3:42:13,10/30/2023 – 11/05/2023,12:36:27,
Explored React Google Maps: Dedicated time to watching tutorials and diving into documentation to gain proficiency with React Google Maps.,11/6/2023,1:26:24,11/6/2023 – 11/12/2023,13:00:36,
Google Maps Integration: Successfully integrated Google Maps into the Map component.,11/6/2023,0:06:12,11/6/2023 – 11/12/2023,13:00:36,
"Revamped Chat and Map Pages with New Components: Implemented several key updates to the Chat and Map pages, introducing new components to enhance functionality and user experience. Notable additions include the MiniNavBar, MinimalSelect, EventList, and GoogleMap components. Additionally, the MiniNavBar component was integrated into the Chat page, while the Map page received an overhaul with the incorporation of the MiniNavBar, MinimalSelect, EventList, and GoogleMap components. I read documentation and effectively leveraged the Material UI library to achieve the desired design and interactivity improvements in these components.",11/7/2023,3:43:47,11/6/2023 – 11/12/2023,13:00:36,
Enhancements to Chat Functionality: Successfully resolved a display issue for the current user's recent messages and implemented handling of image messages in 'chatSlice.js'.,11/8/2023,0:10:52,11/6/2023 – 11/12/2023,13:00:36,
"Integration of Geolocation in GoogleMap Component: Delved into Google Maps Documentation to understand Geolocation, and successfully integrated geolocation functionality into the GoogleMap component.",11/10/2023,0:26:15,11/6/2023 – 11/12/2023,13:00:36,
"Development of New Event Form and GoogleMap Enhancements: Executed a series of upgrades including the creation and implementation of a new event form, enabling users to create events. Also, integrated the InfoWindowF component into GoogleMap for information display. Further enhanced the map's aesthetic by importing custom mapStyles.",11/11/2023,1:48:45,11/6/2023 – 11/12/2023,13:00:36,
"Research on MUI Library Components - Date and Time Pickers: Conducted an study of the MUI library documentation, focusing on Date and Time Picker components.",11/11/2023,0:16:37,11/6/2023 – 11/12/2023,13:00:36,
"Enhancement of Event Form with DateSelect Component and UI Updates: Developed the DateSelect component and integrated it into the event form. Additionally, conducted an update of the event form's UI and functionality, ensuring a more intuitive and efficient user experience.",11/11/2023,0:28:49,11/6/2023 – 11/12/2023,13:00:36,
"Custom Styling and Theme Application on MUI Components: Engaged in research on adding custom styles to MUI components and applying themes. Leveraging this knowledge, successfully implemented a custom theme for the DateSelect component, enhancing its visual appeal and aligning it with the overall design aesthetic.",11/11/2023,0:28:26,11/6/2023 – 11/12/2023,13:00:36,
"Backend Development and Integration: Revised the event model to meet new requirements, developed new controllers for event management, and established robust event routes to handle incoming requests, optimizing the application's functionality.",11/12/2023,1:28:26,11/6/2023 – 11/12/2023,13:00:36,
"UI Updates and Enhancements: Developed and integrated a new TimeSelect component and enhanced other existing UI components. Additionaly, Modified the EventForm to ensure accurate and efficient data submission to the server, streamlining the event creation process.",11/12/2023,1:03:44,11/6/2023 – 11/12/2023,13:00:36,
"Geocoding Enhancements for Event Location Selection: Upgraded the event location selection process by integrating geocoding capabilities. This involved updating the event data model to incorporate location information, implementing reverse geocoding to allow users to select addresses directly on the map, and enabling forward geocoding for manual address entry in the event form. These enhancements collectively improve the accuracy and user-friendliness of location selection in event creation.",11/12/2023,1:32:19,11/6/2023 – 11/12/2023,13:00:36,
"Integration of MapAutocompleteSearchBox into MyMap Component: Focused on enhancing the MyMap component by incorporating the MapAutocompleteSearchBox component. This task began with a thorough study of Google's autocomplete documentation. Subsequently, a new MapAutocompleteSearchBox component was added, complete with custom styling. Utilized Google Maps Autocomplete feature within this component to streamline the search experience. Finally, this enhanced MapAutocompleteSearchBox was successfully integrated into the MyMap component, significantly improving its usability and search accuracy.",11/13/2023,0:41:22,11/13/2023 – 11/19/2023,7:17:01,
"Backend Event Handling Enhancement: Enhanced the backend with a new endpoint for fetching user-specific events. Simultaneously, the event model was updated to include timestamps, optimizing event sorting and management.",11/13/2023,0:29:31,11/13/2023 – 11/19/2023,7:17:01,
"Frontend Event Management Improvement: Revamped the frontend's event handling by implementing eventSlice.js for effective event state management. Upgraded the EventList component to showcase user-specific events. Additionally, fixed issues in the DateSelect and TimeSelect components to guarantee accurate date storage, thus improving data reliability and user interaction.",11/14/2023,1:15:26,11/13/2023 – 11/19/2023,7:17:01,
"Implementation of Event Deletion with Confirmation Modal: Introduced a delete confirmation modal to the EventList component, adding an essential layer of user interaction for event management. This feature prompts users for confirmation before deleting an event, ensuring intentional actions. Upon receiving user confirmation, the event is then efficiently removed from the database, streamlining the event deletion process while enhancing data integrity and user control.",11/14/2023,0:14:36,11/13/2023 – 11/19/2023,7:17:01,
"Enhanced Event Management: Optimized the create, update, and delete operations in eventController.js for more efficient event processing.",11/14/2023,0:42:16,11/13/2023 – 11/19/2023,7:17:01,
Real-Time Event Dynamics: Added new event handling functions to socketMiddleware.js to facilitate real-time event updates and integrated Socket Middleware in eventRoutes.js.,11/15/2023,0:18:27,11/13/2023 – 11/19/2023,7:17:01,
"Event Listeners Implementation: Set up listeners for new, updated, and deleted events to maintain real-time sync with backend changes.",11/15/2023,0:06:36,11/13/2023 – 11/19/2023,7:17:01,
"Enhanced State Management: Altered eventSlice.js for distinct handling of user-specific and all events, improving state management.",11/16/2023,0:29:15,11/13/2023 – 11/19/2023,7:17:01,
"Addition of EventEditForm Component: Introduced EventEditForm for on-the-fly event updates, enhancing user interactivity.",11/16/2023,1:45:17,11/13/2023 – 11/19/2023,7:17:01,
"Map Component Revamp: Updated the Map component to fetch all events, ensuring data is current and accurate.",11/16/2023,0:07:53,11/13/2023 – 11/19/2023,7:17:01,
MyMap Marker Functionality Enhancement: Upgraded MyMap with new marker features for better event representation.,11/16/2023,0:29:14,11/13/2023 – 11/19/2023,7:17:01,
Integration of Google Maps Autocomplete: Incorporated Google Maps Autocomplete in the event form for streamlined address input.,11/17/2023,0:32:56,11/13/2023 – 11/19/2023,7:17:01,
Global Style Updates: Made revisions to global styles to align with the new functional and aesthetic updates.,11/17/2023,0:04:12,11/13/2023 – 11/19/2023,7:17:01,
"Functionality Expansion in eventController.js: Incorporated features for event status updates and soft removals, improving event lifecycle management.",11/20/2023,0:52:24,11/20/2023 – 11/26/2023,7:55:15,
"Socket Middleware Enhancement: Modified socket middleware to emit notifications for event status changes and removals, ensuring effective real-time updates.",11/20/2023,1:03:25,11/20/2023 – 11/26/2023,7:55:15,
Real-Time Event Listeners Implementation: Set up frontend listeners for detecting and responding to event status updates and removals from the backend.,11/20/2023,0:02:16,11/20/2023 – 11/26/2023,7:55:15,
"Refinement of eventSlice.js for Enhanced Event Handling: Updated eventSlice.js to manage new event statuses and soft removals, including updating 'going' and 'interested' status counts dynamically.",11/21/2023,0:33:16,11/20/2023 – 11/26/2023,7:55:15,
"Event Removal Functionality in EventList Component: Enhanced EventList component with event removal capabilities, offering users more control and interaction flexibility.",11/23/2023,0:31:52,11/20/2023 – 11/26/2023,7:55:15,
"Creation and Integration of EventDetails Component: Developed and seamlessly integrated the EventDetails component into MyMap, providing detailed event information upon marker interaction.",11/25/2023,1:19:27,11/20/2023 – 11/26/2023,7:55:15,
"Comprehensive Debugging of Websocket Events and Redux State Issues: Thoroughly debugged and resolved complex issues with Websocket events and Redux state management, particularly addressing the malfunctioning updates and counts of statuses. This extensive troubleshooting required modifications across various sections of both frontend and backend code, culminating in a more reliable and accurately functioning system for real-time updates and status management.",11/26/2023,3:32:35,11/20/2023 – 11/26/2023,7:55:15,
"Studying of Email Sending Techniques: Dedicated time to learn how to send real emails, crucial for implementing functionalities like welcome emails, password reset emails, and other similar notifications.",11/27/2023,1:32:16,11/27/2023 – 12/03/2023,5:20:43,
"Research on Email Service Providers: Conducted thorough research and read documentation of various email providers, including Sendgrid, Mailgun, and Postmark, to compare their features and capabilities.",11/27/2023,0:49:25,11/27/2023 – 12/03/2023,5:20:43,
Selection of Postmark: Decided on using Postmark for the application’s email services and delved into the Postmark Node.js Library documentation. This step was focused on understanding how to effectively integrate and utilize Postmark in the application for reliable email communication.,11/28/2023,0:39:25,11/27/2023 – 12/03/2023,5:20:43,
"Research on Domain Ownership and Business Email Setup for Customer Communication: Conducted research on acquiring a domain and setting up a professional business email. This investigation focused on understanding the nuances of domain registration, the selection of a suitable domain name, and the process of establishing a business email account.",11/28/2023,1:04:35,11/27/2023 – 12/03/2023,5:20:43,
"Domain Name Acquisition via GoDaddy Registrar: Successfully purchased a domain name through GoDaddy, one of the leading domain registrars.",11/29/2023,0:12:34,11/27/2023 – 12/03/2023,5:20:43,
"Setting Up Google Business Email for LinguaConnect: Established a Google business email account specifically for the newly acquired website domain. This involved configuring the email service through Google Workspace, linking it with the domain name purchased from GoDaddy, and setting up the necessary DNS records.",11/29/2023,0:34:32,11/27/2023 – 12/03/2023,5:20:43,
"Learning Task Scheduling and Date Manipulation: Explored node-cron documentation for scheduling tasks and Moment.js for date and time manipulation, gaining essential knowledge for effective implementation.",12/3/2023,0:13:25,11/27/2023 – 12/03/2023,5:20:43,
"Utility Function for Scheduled Event Deletion: Developed a utility function to automatically delete past events, integrating efficient task scheduling and adapted the server file to include the new scheduled task, ensuring automated removal of outdated events.",12/3/2023,0:08:15,11/27/2023 – 12/03/2023,5:20:43,
"Filtering Past Events in Event Retrieval: Updated getUserEvents and getAllEvents controller methods to exclude past events, enhancing data relevance and accuracy for users.",12/3/2023,0:06:16,11/27/2023 – 12/03/2023,5:20:43,
"Communication with Supervisor: Prepared and sent an email to my supervisor, providing a comprehensive update on the latest developments in our application. The email detailed the final steps taken in the project and outlined upcoming submissions, ensuring clear and transparent communication about the project's status and future plans.",12/4/2023,0:14:16,12/04/2023 – 12/10/2023,15:33:32,
UpdateUserSettings Controller and Route Implementation: Developed a new 'updateUserSettings' controller within 'eventController.js' and established a dedicated route for 'updateUserSettings' in 'eventRoutes.js'.,12/5/2023,0:12:27,12/04/2023 – 12/10/2023,15:33:32,
"Addition of UserSettingsForm Component: Introduced a new 'UserSettingsForm' component to the frontend. This component provides a user-friendly interface for updating personal settings, aligning the frontend functionality with the backend enhancements.",12/5/2023,0:47:42,12/04/2023 – 12/10/2023,15:33:32,
"Discover Page Search Bar Implementation: Designed and implemented a search bar on the Discover page, enabling users to search for others based on criteria such as name, username, or languages.",12/5/2023,0:39:25,12/04/2023 – 12/10/2023,15:33:32,
Application-Wide CSS Style Modifications: Executed a series of CSS style changes across the application to improve visual appeal and user experience consistency.,12/5/2023,0:27:25,12/04/2023 – 12/10/2023,15:33:32,
"Email Module Update for Postmark API: Redesigned the email module to utilize the Postmark API, enhancing email communication efficiency.",12/6/2023,0:26:36,12/04/2023 – 12/10/2023,15:33:32,
"Auth Controller Email Functionality Update: Updated email functionalities, including the password reset feature, in authController.js, leveraging the new email module capabilities.",12/6/2023,0:12:15,12/04/2023 – 12/10/2023,15:33:32,
"Custom Email Template Creation: Crafted personalized email templates using Postmark, tailoring them specifically for various user interactions such as welcome messages.",12/6/2023,1:15:13,12/04/2023 – 12/10/2023,15:33:32,
Functionality Testing with Postman: Conducted extensive testing of the email functionality by simulating quick registration processes and sending welcome messages through Postman.,12/6/2023,0:32:15,12/04/2023 – 12/10/2023,15:33:32,
"Chat Model Enhancement and Soft Delete Mechanism Implementation: Enhanced the chat model by adding 'deletedByUser1' and 'deletedByUser2' fields to chatModel.js, laying the groundwork for soft delete functionalities in chat interactions. Subsequently, refactored chatController.js to implement the soft delete mechanism.",12/7/2023,0:14:26,12/04/2023 – 12/10/2023,15:33:32,
"User Controller and Route Enhancements for Deletion Functionality: Implemented a 'deleteMe' function and refactored 'getActiveChatUsers' in userController.js. This enhancement ensures that the chat data representation is accurate, taking into account chats that have been marked as deleted.",12/7/2023,0:13:43,12/04/2023 – 12/10/2023,15:33:32,
Enhancement of messageController.js for Chat Status Reset: Upgraded the messageController.js to automatically reset the deleted status of a chat when new messages are sent.,12/7/2023,0:02:13,12/04/2023 – 12/10/2023,15:33:32,
"Event Deletion and Real-Time Management Enhancement: Enhanced the 'deleteEvent' function in eventController.js to ensure that events are removed from all users' events arrays. In tandem with the controller's enhancement, the event removal and deletion handlers in socketMiddleware.js were also refactored. This update significantly improves the efficiency of real-time event management, ensuring prompt and accurate event status updates across the platform.",12/8/2023,0:10:26,12/04/2023 – 12/10/2023,15:33:32,
Frontend Chat Deletion Feature and State Management Update:  Introduced a chat deletion functionality in the Chat.jsx component and complemented it by adding a 'deleteChat' action to chatSlice.,12/8/2023,0:39:43,12/04/2023 – 12/10/2023,15:33:32,
"Development of Password Recovery System: Crafted a dedicated ForgotPassword page, providing users with a focused and user-friendly interface for initiating password recovery processes. Further streamlined the password recovery journey by adding the ResetPasswordForm component and the ResetPassword page. This addition ensures a seamless experience for users as they complete the process of resetting their passwords.",12/8/2023,1:32:52,12/04/2023 – 12/10/2023,15:33:32,
Testing of Reset Password Functionality with Real Email Sending: Conducted thorough testing of the reset password feature by simulating the entire process with real email sending.,12/8/2023,0:22:32,12/04/2023 – 12/10/2023,15:33:32,
User Account Deletion in User Settings: Implemented account deletion functionality in user settings.,12/8/2023,0:32:42,12/04/2023 – 12/10/2023,15:33:32,
Alert Messages in Multiple Components: Integrated alert messages across various components for better user feedback and interaction.,12/9/2023,0:16:22,12/04/2023 – 12/10/2023,15:33:32,
"Style Enhancements Across Components: Conducted a series of style adjustments and fixes for multiple components, improving the application's visual coherence.",12/9/2023,0:43:27,12/04/2023 – 12/10/2023,15:33:32,
"Custom Map Styles in MyMap Component: Added custom map styles to the MyMap component, elevating the map's aesthetic appeal.",12/9/2023,0:25:21,12/04/2023 – 12/10/2023,15:33:32,
"Development and Testing of Website's Landing Page with Contact Form Integration: Successfully developed the website's landing page, incorporating a contact form to facilitate user inquiries and feedback. Testing was conducted to verify the functionality of the contact form, ensuring it operates without issues",12/10/2023,5:32:11,12/04/2023 – 12/10/2023,15:33:32,
,,,,,
